HHID,Semel,HHsize,HHChild8,Sector,HHVeh,HHBikes,HHUnitArea,Day1,Day2,NewTaz,StatZn,Status,HHType,Mosad,WF,Source,HHMembers,Version
1500038070,5000,6,2,1,2,3,100,13/05/2014,,1901,911,1,22,1,89.071915,3,|3|3|4|4|4|4|,1.06
1500039100,5000,2,0,1,1,0,90,04/05/2014,,1901,911,1,21,1,204.104691,3,|2|2|,1.06
1500039120,5000,1,0,1,1,0,90,08/05/2014,,1901,911,1,10,1,89.071915,3,|1|,1.06
1500040020,5000,2,0,1,1,0,90,20/05/2014,,2302,911,1,33,1,89.071915,3,|6|6|,1.06
1500040030,5000,4,2,1,1,2,80,04/05/2014,,2302,911,1,22,1,89.071915,3,|3|3|4|4|,1.06
1500040040,5000,2,0,1,0,0,100,30/04/2014,,2302,911,1,21,1,89.071915,3,|2|2|,1.06
1500040100,5000,4,0,1,2,0,140,11/05/2014,,2302,911,1,22,1,89.071915,3,|3|3|4|4|,1.06
1500040130,5000,2,0,1,0,0,70,07/05/2014,,2301,911,1,21,1,89.071915,3,|2|2|,1.06
1500040150,5000,2,0,1,3,0,120,14/05/2014,,1901,911,1,23,1,89.071915,3,|3|4|,1.06
1860005010,8600,4,2,1,2,0,100,21/05/2014,,2435,324,1,22,1,137.367157,3,|3|3|4|4|,1.06
1860005040,8600,5,0,1,1,0,100,11/05/2014,,2436,324,1,22,1,96.387352,3,|3|3|4|4|4|,1.06
1860005090,8600,4,0,1,1,0,80,23/06/2014,,2436,324,1,23,1,96.387352,3,|3|4|4|4|,1.06
1860005120,8600,4,0,1,3,1,100,20/05/2014,,2436,324,1,22,1,96.387352,3,|3|3|4|4|,1.06
1860005130,8600,5,1,1,3,3,85,30/04/2014,,2437,324,1,22,1,96.387352,3,|3|3|4|4|4|,1.06
1860005140,8600,1,0,1,1,0,85,08/05/2014,,2437,324,1,10,1,96.387352,3,|1|,1.06
262001010,2620,2,0,3,2,0,999,13/01/2014,,4401,6,1,21,1,64.158737,3,|2|2|,1.06
262001030,2620,4,2,1,2,4,150,14/01/2014,,4401,6,1,22,1,64.158737,3,|3|3|4|4|,1.06
262001061,2620,5,0,1,2,4,999,05/02/2014,,4401,6,1,22,1,64.158737,3,|3|3|4|4|4|,1.06
262001070,2620,1,0,1,1,0,60,20/01/2014,,2510,6,1,10,1,61.445339,3,|1|,1.06
262001100,2620,4,0,1,4,0,120,14/01/2014,,4401,6,1,22,1,64.158737,3,|3|3|4|7|,1.06
262001151,2620,3,0,1,1,2,120,05/02/2014,,2510,6,1,23,1,64.158737,3,|3|4|4|,1.06
262002030,2620,4,2,1,1,0,90,26/01/2014,,4204,6,1,22,1,61.445339,3,|3|3|4|4|,1.06
262002041,2620,2,0,3,2,0,135,13/02/2014,,4401,6,1,21,1,64.158737,3,|2|2|,1.06
262002070,2620,5,1,1,2,3,120,23/01/2014,,4401,6,1,22,1,64.158737,3,|3|3|4|4|4|,1.06
262002080,2620,2,0,1,2,0,74,23/01/2014,,4401,6,1,21,1,61.445339,3,|2|2|,1.06
262002090,2620,1,0,1,1,0,65,22/01/2014,,2510,6,1,10,1,61.445339,3,|1|,1.06
262002150,2620,2,0,1,1,0,998,22/01/2014,,2510,6,1,21,1,64.158737,3,|2|2|,1.06
262003010,2620,5,3,1,2,1,88,24/02/2014,,2510,6,1,22,1,61.445339,3,|3|3|4|4|4|,1.06
262003020,2620,2,0,1,2,0,165,09/02/2014,,4401,6,1,23,1,64.158737,3,|3|4|,1.06
262003030,2620,3,0,1,1,2,90,17/02/2014,,2510,6,1,22,1,61.445339,3,|3|3|4|,1.06
262003040,2620,2,0,1,1,0,120,05/02/2014,,4401,6,1,21,1,64.158737,3,|2|2|,1.06
262003060,2620,1,0,1,1,0,70,13/02/2014,,2510,6,1,10,1,61.445339,3,|1|,1.06
262003070,2620,4,0,1,2,4,180,03/02/2014,,2510,6,1,22,1,64.158737,3,|3|3|4|4|,1.06
262003091,2620,2,0,1,2,0,120,17/02/2014,,4401,6,1,21,1,64.158737,3,|2|2|,1.06
262003100,2620,2,0,1,2,0,120,02/02/2014,,4401,6,1,21,1,64.158737,3,|2|2|,1.06
262003110,2620,4,0,1,1,4,120,02/02/2014,,4401,6,1,22,1,64.158737,3,|3|3|4|4|,1.06
262004020,2620,4,0,1,1,0,90,11/02/2014,,2510,6,1,22,1,61.445339,3,|3|3|4|4|,1.06
262004030,2620,1,0,1,1,0,71,30/01/2014,,2510,6,1,10,1,61.445339,3,|1|,1.06
262004040,2620,4,2,1,2,0,73,18/02/2014,,2510,6,1,22,1,251.316177,3,|3|3|4|4|,1.06
262004051,2620,2,0,1,2,1,120,18/02/2014,,2510,6,1,21,1,64.158737,3,|2|2|,1.06
262004091,2620,3,0,1,1,0,120,19/02/2014,,4401,6,1,23,1,64.158737,3,|3|4|4|,1.06
262004100,2620,2,0,1,3,0,120,11/02/2014,,2510,6,1,21,1,64.158737,3,|2|2|,1.06
262004111,2620,2,0,1,1,0,120,17/02/2014,,4401,6,1,21,1,64.158737,3,|2|2|,1.06
262004120,2620,3,0,1,2,0,90,30/01/2014,,2510,6,1,22,1,61.445339,3,|3|3|4|,1.06
262004131,2620,5,1,1,1,3,120,18/02/2014,,2510,6,1,22,1,64.158737,3,|3|3|4|4|4|,1.06
262004140,2620,2,0,1,1,0,999,03/02/2014,,2510,6,1,21,1,61.445339,3,|2|2|,1.06
262004150,2620,5,0,1,2,2,130,09/02/2014,,4401,6,1,22,1,64.158737,3,|3|3|4|4|4|,1.06
262005011,2620,3,0,1,3,1,120,18/03/2014,,4401,6,1,22,1,64.158737,3,|3|3|4|,1.06
262005021,2620,3,0,1,1,2,90,23/04/2014,,2510,6,1,22,1,61.445339,3,|3|3|4|,1.06
262005031,2620,3,1,1,2,0,90,28/04/2014,,2510,6,1,22,1,251.316177,3,|3|3|4|,1.06
262005040,2620,1,0,1,1,0,998,11/02/2014,,2510,6,1,10,1,61.445339,3,|1|,1.06
262005061,2620,2,0,1,2,0,120,20/02/2014,,4401,6,1,21,1,64.158737,3,|2|2|,1.06
262005070,2620,1,0,1,1,1,999,09/02/2014,,4401,6,1,10,1,64.158737,3,|1|,1.06
262005091,2620,4,1,1,2,4,89,18/03/2014,,2510,6,1,22,1,251.316177,3,|3|3|4|4|,1.06
262005101,2620,4,2,1,2,0,150,23/04/2014,,4401,6,1,22,1,64.158737,3,|3|3|4|4|,1.06
262005121,2620,4,0,1,2,0,999,18/03/2014,,2510,6,1,22,1,61.445339,3,|3|3|4|4|,1.06
262005131,2620,1,0,1,1,0,65,18/03/2014,,2510,6,1,10,1,61.445339,3,|1|,1.06
262005140,2620,5,3,1,2,2,75,16/02/2014,,4204,6,1,22,1,61.445339,3,|3|3|4|4|4|,1.06
262005150,2620,2,0,1,1,0,120,17/02/2014,,2510,6,1,21,1,64.158737,3,|2|2|,1.06
262006020,2620,2,0,1,2,0,120,12/06/2014,,4401,6,1,21,1,64.158737,3,|2|2|,1.06
262006030,2620,3,0,1,2,0,140,17/06/2014,,4401,6,1,22,1,64.158737,3,|3|3|4|,1.06
262006040,2620,4,1,3,1,0,120,12/06/2014,,2510,6,1,22,1,61.445339,3,|3|3|4|4|,1.06
