HHID2,IndID,Age,Relat,Gender,CLic,MLic,Educ,EmpStat,profDrvr,EmpPark,study,device,WF2,Source2,Version
1500038070,1,40,3,2,1,1,5,1,--,1,2,1,96.352203,3,1.06
1500038070,2,41,3,1,1,1,5,1,--,1,2,1,107.87738,3,1.06
1500038070,3,13,4,1,99,99,9,8,--,9,99,4,75.988983,3,1.06
1500038070,4,10,4,1,99,99,9,99,--,9,99,4,75.988983,3,1.06
1500038070,5,6,4,1,99,99,9,99,--,9,99,4,70.793594,3,1.06
1500038070,6,1,4,2,99,99,9,99,--,9,99,4,81.631119,3,1.06
1500039100,1,66,2,1,1,2,5,8,--,9,2,1,233.802368,3,1.06
1500039100,2,62,2,2,2,2,4,8,--,9,2,1,214.277161,3,1.06
1500039120,1,61,1,2,1,2,5,1,--,1,2,1,93.511208,3,1.06
1500040020,1,54,6,2,1,2,2,1,--,1,2,1,63.421371,3,1.06
1500040020,2,54,6,2,2,2,4,1,--,3,2,1,63.421371,3,1.06
1500040030,1,44,3,2,1,2,4,8,--,9,2,4,96.352203,3,1.06
1500040030,2,44,3,1,1,1,3,1,--,1,2,4,107.87738,3,1.06
1500040030,3,4,4,1,99,99,9,99,--,9,99,4,78.361839,3,1.06
1500040030,4,7,4,2,99,99,9,99,--,9,99,4,70.626572,3,1.06
1500040040,1,72,2,1,1,2,4,8,--,9,2,1,84.44722,3,1.06
1500040040,2,71,2,2,2,2,4,8,--,9,1,1,73.12175,3,1.06
1500040100,1,53,3,1,1,2,6,1,--,1,2,1,85.94072,3,1.06
1500040100,2,48,3,2,1,2,4,1,--,5,2,1,76.091255,3,1.06
1500040100,3,25,4,1,1,2,4,3,--,3,2,1,76.784157,3,1.06
1500040100,4,18,4,2,2,2,1,8,--,9,1,1,90.576599,3,1.06
1500040130,1,30,2,1,1,2,4,1,--,1,2,4,90.429939,3,1.06
1500040130,2,28,2,2,1,2,4,1,--,3,2,4,90.399277,3,1.06
1500040150,1,50,3,1,1,2,7,1,--,1,2,1,85.94072,3,1.06
1500040150,2,27,4,1,1,2,3,8,--,9,1,1,76.784157,3,1.06
1860005010,1,56,3,1,1,2,5,1,--,4,2,1,159.1409,3,1.06
1860005010,2,40,3,2,1,2,4,2,--,4,2,1,110.735199,3,1.06
1860005010,3,5,4,2,99,99,9,99,--,9,99,4,113.76915,3,1.06
1860005010,4,1,4,1,99,99,9,99,--,9,99,4,118.887955,3,1.06
1860005040,1,49,3,2,2,1,3,1,--,1,2,1,88.839073,3,1.06
1860005040,2,50,3,1,1,2,5,1,--,3,2,1,137.775345,3,1.06
1860005040,3,20,4,2,2,2,3,4,--,3,9,1,99.414009,3,1.06
1860005040,4,17,4,1,1,2,1,8,--,9,1,1,121.494911,3,1.06
1860005040,5,14,4,1,99,99,9,8,--,9,99,4,78.478348,3,1.06
1860005090,1,48,3,2,1,2,4,1,--,5,2,1,88.839073,3,1.06
1860005090,2,18,4,2,2,2,4,8,--,9,2,1,106.09996,3,1.06
1860005090,3,16,4,2,99,2,1,8,--,9,1,1,106.09996,3,1.06
1860005090,4,20,4,2,2,2,1,8,--,9,1,1,99.414009,3,1.06
1860005120,1,52,3,2,1,2,5,8,--,9,2,1,102.540627,3,1.06
1860005120,2,52,3,1,1,2,3,1,--,1,2,1,137.775345,3,1.06
1860005120,3,22,4,2,1,2,1,8,--,9,1,1,99.414009,3,1.06
1860005120,4,21,4,2,1,2,3,8,--,9,2,1,99.414009,3,1.06
1860005130,1,42,3,1,1,1,4,1,--,4,2,1,85.928116,3,1.06
1860005130,2,39,3,2,1,2,5,1,--,1,2,1,86.381897,3,1.06
1860005130,3,12,4,1,99,99,9,99,--,9,99,4,78.478348,3,1.06
1860005130,4,9,4,1,99,99,9,99,--,9,99,4,76.559944,3,1.06
1860005130,5,3,4,1,99,99,9,99,--,9,99,4,83.420921,3,1.06
1860005140,1,45,1,2,1,2,5,1,--,1,2,1,88.839073,3,1.06
262001010,1,69,2,1,1,2,7,8,--,9,2,1,78.210243,3,1.06
262001010,2,68,2,2,1,2,4,8,--,9,1,1,71.841515,3,1.06
262001030,1,39,3,1,1,1,6,1,--,2,2,1,68.274323,3,1.06
262001030,2,39,3,2,1,1,7,2,--,1,2,1,85.529449,3,1.06
262001030,3,5,4,2,99,99,9,99,--,9,99,1,78.12323,3,1.06
262001030,4,3,4,1,99,99,9,99,--,9,99,1,85.034836,3,1.06
262001061,1,43,3,2,1,2,7,1,--,1,2,1,103.17202,3,1.06
262001061,2,47,3,1,1,2,6,1,--,9,2,1,93.169647,3,1.06
262001061,3,15,4,1,99,99,1,8,--,9,99,1,97.625755,3,1.06
262001061,4,11,4,1,99,99,9,99,--,9,99,1,144.716568,3,1.06
262001061,5,8,4,2,99,99,9,99,--,9,99,1,78.12323,3,1.06
262001070,1,32,1,1,1,2,5,1,--,1,1,1,67.105362,3,1.06
262001100,1,57,3,1,1,2,6,1,--,1,1,1,79.247185,3,1.06
262001100,2,54,3,2,1,2,6,2,--,1,2,1,85.409409,3,1.06
262001100,3,25,4,1,1,1,3,1,--,3,1,1,96.310226,3,1.06
262001100,4,25,7,2,1,2,3,1,--,4,1,1,119.880257,3,1.06
262001151,1,48,3,2,1,1,5,1,--,9,1,1,85.195984,3,1.06
262001151,2,15,4,1,99,99,1,8,--,9,99,1,97.625755,3,1.06
262001151,3,11,4,2,99,99,9,99,--,9,99,1,70.726082,3,1.06
262002030,1,36,3,2,1,2,5,1,--,3,2,1,81.912247,3,1.06
262002030,2,35,3,1,1,2,5,1,--,1,2,5,65.386871,3,1.06
262002030,3,4,4,1,99,99,9,99,--,9,99,5,81.438545,3,1.06
262002030,4,1,4,2,99,99,9,99,--,9,99,5,76.73616,3,1.06
262002041,1,59,2,1,1,2,1,1,--,1,2,1,79.247185,3,1.06
262002041,2,56,2,2,1,2,2,1,--,1,2,1,66.71611,3,1.06
262002070,1,41,3,1,1,1,6,1,--,4,2,1,139.078262,3,1.06
262002070,2,41,3,2,1,2,5,1,--,4,2,1,103.17202,3,1.06
262002070,3,11,4,2,99,99,9,99,--,9,99,1,70.726082,3,1.06
262002070,4,8,4,2,99,99,9,99,--,9,99,1,78.12323,3,1.06
262002070,5,5,4,2,99,99,9,99,--,9,99,1,78.12323,3,1.06
262002080,1,40,2,1,1,1,6,1,--,1,2,1,133.196365,3,1.06
262002080,2,33,2,2,1,1,5,1,--,5,1,1,71.128853,3,1.06
262002090,1,58,1,1,1,1,6,1,--,1,2,1,75.895668,3,1.06
262002150,1,82,2,1,1,2,6,8,--,9,2,1,145.478348,3,1.06
262002150,2,99,2,2,1,2,3,8,--,9,2,1,188.965698,3,1.06
262003010,1,41,3,1,1,1,4,1,--,1,2,1,133.196365,3,1.06
262003010,2,39,3,2,1,2,5,8,--,9,1,1,81.912247,3,1.06
262003010,3,7,4,1,99,99,9,99,--,9,99,5,195.875122,3,1.06
262003010,4,5,4,2,99,99,9,99,--,9,99,5,74.819244,3,1.06
262003010,5,1,4,2,99,99,9,99,--,9,99,5,76.73616,3,1.06
262003020,1,43,3,2,1,2,5,2,--,1,2,1,103.17202,3,1.06
262003020,2,17,4,2,2,2,1,8,--,9,1,1,129.592255,3,1.06
262003030,1,36,3,1,1,2,3,1,--,1,2,1,65.386871,3,1.06
262003030,2,37,3,2,1,2,4,1,--,1,2,1,81.912247,3,1.06
262003030,3,13,4,1,99,99,9,8,--,9,99,1,138.596222,3,1.06
262003040,1,78,2,1,1,2,4,8,--,9,1,1,145.478348,3,1.06
262003040,2,68,2,2,1,1,4,8,--,9,2,1,71.841515,3,1.06
262003060,1,40,1,2,1,2,7,8,--,9,2,1,98.808678,3,1.06
262003070,1,49,3,1,1,1,5,1,--,1,2,1,93.169647,3,1.06
262003070,2,48,3,2,1,1,6,1,--,9,2,1,85.195984,3,1.06
262003070,3,14,4,2,99,99,9,2,--,3,99,1,70.726082,3,1.06
262003070,4,10,4,2,99,99,9,99,--,9,99,1,70.726082,3,1.06
262003091,1,80,2,1,1,2,1,1,--,1,2,1,145.478348,3,1.06
262003091,2,72,2,2,1,2,1,8,--,9,1,1,94.763489,3,1.06
262003100,1,75,2,1,1,2,3,2,--,5,2,1,145.478348,3,1.06
262003100,2,70,2,2,1,2,3,8,--,9,2,1,94.763489,3,1.06
262003110,1,44,3,2,1,2,6,1,--,3,2,1,103.17202,3,1.06
262003110,2,48,3,1,1,2,7,1,--,1,2,1,93.169647,3,1.06
262003110,3,15,4,1,99,99,8,8,--,9,99,1,97.625755,3,1.06
262003110,4,11,4,2,99,99,9,99,--,9,99,1,70.726082,3,1.06
262004020,1,53,3,1,1,2,2,8,--,9,2,1,72.236237,3,1.06
262004020,2,42,3,2,1,2,5,1,--,1,2,1,98.808678,3,1.06
262004020,3,15,4,1,99,99,1,8,--,9,99,1,93.496971,3,1.06
262004020,4,13,4,2,99,99,9,8,--,9,99,1,67.73494,3,1.06
262004030,1,33,1,2,1,2,5,1,--,2,2,1,71.128853,3,1.06
262004040,1,34,3,1,1,2,5,1,--,1,2,1,274.466095,3,1.06
262004040,2,35,3,2,1,2,6,2,--,1,2,1,335.027405,3,1.06
262004040,3,4,4,2,99,99,9,99,--,9,99,5,313.856812,3,1.06
262004040,4,2,4,1,99,99,9,99,--,9,99,5,333.089935,3,1.06
262004051,1,69,2,1,1,1,7,8,--,9,2,1,78.210243,3,1.06
262004051,2,68,2,2,1,1,6,1,--,4,2,1,71.841515,3,1.06
262004091,1,62,3,2,1,2,1,8,--,9,2,1,73.316948,3,1.06
262004091,2,26,4,1,1,2,4,8,--,9,2,1,96.310226,3,1.06
262004091,3,21,4,2,2,2,2,8,--,9,2,1,161.156662,3,1.06
262004100,1,63,2,2,1,2,6,8,--,9,2,1,73.316948,3,1.06
262004100,2,66,2,1,1,1,5,1,--,1,2,1,78.210243,3,1.06
262004111,1,80,2,1,1,1,1,8,--,9,2,1,145.478348,3,1.06
262004111,2,79,2,2,2,2,1,8,--,9,2,1,188.965698,3,1.06
262004120,1,56,3,1,1,1,3,1,--,1,2,1,75.895668,3,1.06
262004120,2,53,3,2,2,2,3,1,--,3,1,1,81.797279,3,1.06
262004120,3,26,4,2,1,2,3,1,--,4,1,1,114.810287,3,1.06
262004131,1,45,3,1,1,2,4,9,--,9,2,1,93.169647,3,1.06
262004131,2,37,3,2,2,2,4,1,--,9,2,1,85.529449,3,1.06
262004131,3,12,4,2,99,99,9,99,--,9,99,1,70.726082,3,1.06
262004131,4,9,4,2,99,99,9,99,--,9,99,1,78.12323,3,1.06
262004131,5,3,4,2,99,99,9,99,--,9,99,1,80.124794,3,1.06
262004140,1,76,2,1,1,2,5,2,--,5,2,1,139.32579,3,1.06
262004140,2,73,2,2,1,2,5,2,--,3,1,1,90.755753,3,1.06
262004150,1,45,3,2,1,2,6,1,--,2,2,1,85.195984,3,1.06
262004150,2,48,3,1,1,2,6,1,--,1,2,1,93.169647,3,1.06
262004150,3,15,4,1,99,99,1,8,--,9,99,1,97.625755,3,1.06
262004150,4,12,4,2,99,99,9,99,--,9,99,1,70.726082,3,1.06
262004150,5,8,4,1,99,99,9,99,--,9,99,1,204.524872,3,1.06
262005011,1,60,3,1,1,2,3,1,--,1,2,1,96.285843,3,1.06
262005011,2,57,3,2,1,2,3,1,--,1,2,1,66.71611,3,1.06
262005011,3,24,4,1,1,2,3,1,--,4,1,1,281.094116,3,1.06
262005021,1,67,3,1,1,2,6,8,--,9,2,1,74.90258,3,1.06
262005021,2,60,3,2,1,2,6,8,--,9,2,1,70.216232,3,1.06
262005021,3,25,4,2,1,2,5,8,--,9,1,1,114.810287,3,1.06
262005031,1,33,3,1,1,1,4,1,--,1,2,1,274.466095,3,1.06
262005031,2,37,3,2,1,2,5,8,--,9,1,1,335.027405,3,1.06
262005031,3,1,4,2,99,99,9,99,--,9,99,5,313.856812,3,1.06
262005040,1,50,1,2,1,2,5,1,--,1,2,1,81.797279,3,1.06
262005061,1,72,2,1,1,2,7,8,--,9,2,1,52.662464,3,1.06
262005061,2,68,2,2,1,2,6,2,--,9,2,1,71.841515,3,1.06
262005070,1,58,1,1,1,1,5,1,--,1,2,1,79.247185,3,1.06
262005091,1,46,3,2,1,2,5,1,--,1,2,1,333.721161,3,1.06
262005091,2,48,3,1,1,1,6,1,--,1,2,1,364.954834,3,1.06
262005091,3,12,4,2,99,99,9,99,--,9,99,1,277.041107,3,1.06
262005091,4,6,4,2,99,99,9,99,--,9,99,5,306.016479,3,1.06
262005101,1,42,3,2,1,2,5,2,--,5,2,1,103.17202,3,1.06
262005101,2,43,3,1,1,1,4,1,--,3,2,1,139.078262,3,1.06
262005101,3,7,4,1,99,99,9,99,--,9,99,5,204.524872,3,1.06
262005101,4,3,4,1,99,99,9,99,--,9,99,5,85.034836,3,1.06
262005121,1,50,3,1,1,1,3,1,--,1,2,1,72.236237,3,1.06
262005121,2,46,3,2,1,2,3,1,--,1,2,1,81.59288,3,1.06
262005121,3,17,4,2,1,2,1,8,--,9,1,1,124.111542,3,1.06
262005121,4,13,4,1,99,99,9,8,--,9,99,5,138.596222,3,1.06
262005131,1,56,1,1,1,2,5,1,--,1,2,1,75.895668,3,1.06
262005140,1,36,3,2,1,2,7,2,--,9,2,1,81.912247,3,1.06
262005140,2,35,3,1,1,2,7,1,--,1,2,1,65.386871,3,1.06
262005140,3,7,4,1,99,99,9,99,--,9,99,1,195.875122,3,1.06
262005140,4,4,4,1,99,99,9,99,--,9,99,1,81.438545,3,1.06
262005140,5,1,4,1,99,99,9,99,--,9,99,5,81.438545,3,1.06
262005150,1,67,2,1,1,2,5,8,--,9,2,1,78.210243,3,1.06
262005150,2,62,2,2,1,2,5,8,--,9,2,1,73.316948,3,1.06
262006020,1,60,2,1,1,2,2,2,--,1,2,1,96.285843,3,1.06
262006020,2,55,2,2,1,2,2,1,--,1,2,1,66.71611,3,1.06
262006030,1,24,4,1,1,2,3,8,--,9,1,1,281.094116,3,1.06
262006030,2,69,3,1,1,2,5,1,--,5,2,1,78.210243,3,1.06
262006030,3,65,3,2,1,2,5,2,--,5,2,4,71.841515,3,1.06
262006040,1,41,3,1,1,2,2,1,--,5,2,1,133.196365,3,1.06
262006040,2,40,3,2,1,2,5,1,--,3,2,1,98.808678,3,1.06
262006040,3,9,4,2,99,99,9,99,--,9,99,1,74.819244,3,1.06
262006040,4,4,4,1,99,99,9,99,--,9,99,4,81.438545,3,1.06
262006050,1,67,2,2,1,2,5,8,--,9,2,1,71.841515,3,1.06
262006050,2,70,2,1,1,2,5,8,--,9,2,1,52.662464,3,1.06
262006070,1,33,2,1,1,2,6,1,--,1,1,1,70.068703,3,1.06
262006070,2,31,2,2,1,2,7,1,--,1,2,1,74.269867,3,1.06
262006080,1,29,2,2,1,1,6,1,--,1,2,1,114.810287,3,1.06
262006080,2,29,2,1,1,2,5,1,--,5,2,4,92.237076,3,1.06
262006100,1,45,3,1,1,1,6,1,--,1,2,1,93.169647,3,1.06
262006100,2,42,3,2,1,2,6,1,--,1,2,1,103.17202,3,1.06
262006100,3,10,4,1,99,99,9,99,--,9,99,4,144.716568,3,1.06
262006100,4,13,4,1,99,99,9,8,--,9,99,4,144.716568,3,1.06
262006100,5,4,4,2,99,99,9,99,--,9,99,4,80.124794,3,1.06
262006111,1,43,3,2,1,2,2,1,--,1,2,1,98.808678,3,1.06
262006111,2,45,3,1,1,1,2,1,--,1,2,1,89.229324,3,1.06
262006111,3,17,4,2,1,2,1,8,--,9,1,1,124.111542,3,1.06
262006111,4,10,4,2,99,99,9,99,--,9,99,4,67.73494,3,1.06
262006131,1,75,2,1,1,2,5,8,--,9,2,1,145.478348,3,1.06
262006131,2,66,2,2,1,2,2,8,--,9,2,1,71.841515,3,1.06
262016030,1,67,2,1,1,2,5,8,--,9,2,1,46.18182,3,1.06
262016030,2,66,2,2,1,2,4,1,--,3,2,1,48.75,3,1.06
262016040,1,44,3,1,1,1,5,1,--,1,2,1,27.084999,3,1.06
262016040,2,44,3,2,1,2,6,2,--,4,1,1,38.768276,3,1.06
262016040,3,15,4,2,99,99,1,8,--,9,99,1,59.188988,3,1.06
262016040,4,11,4,1,99,99,9,99,--,9,99,5,29.821188,3,1.06
262016040,5,2,4,2,99,99,9,99,--,9,99,5,40.291771,3,1.06
262016070,1,35,3,1,1,2,5,1,--,4,2,1,293.413452,3,1.06
262016070,2,33,3,2,1,2,5,1,--,3,2,1,198.039322,3,1.06
262016070,3,3,4,1,99,99,9,99,--,9,99,5,159.166672,3,1.06
262016080,1,64,1,1,1,1,7,1,--,1,2,1,34.48465,3,1.06
262016090,1,68,3,2,1,2,4,8,--,9,2,1,48.75,3,1.06
262016090,2,46,4,1,1,1,5,1,--,9,2,1,24.547117,3,1.06
262016090,3,33,4,2,1,2,5,1,--,2,2,1,41.230335,3,1.06
262016100,1,56,3,1,1,2,3,1,--,1,2,1,16.536232,3,1.06
262016100,2,48,3,2,1,2,3,1,--,1,2,1,30.294762,3,1.06
262016100,3,17,4,1,2,2,1,8,--,9,1,1,35.113605,3,1.06
262016110,1,64,2,2,1,2,4,8,--,9,1,1,49,3,1.06
262016110,2,68,2,1,1,2,5,8,--,9,2,1,46.18182,3,1.06
262016120,1,56,3,1,1,1,3,1,--,4,2,1,79.427536,3,1.06
262016120,2,53,3,2,1,1,3,2,--,5,2,1,137.525696,3,1.06
262016120,3,26,4,1,1,1,3,1,--,3,2,1,391.493835,3,1.06
262016140,1,65,2,2,1,2,5,8,--,1,2,1,48.75,3,1.06
262016140,2,67,2,1,1,2,5,1,--,1,2,1,46.18182,3,1.06
262017010,1,42,3,1,1,1,5,1,--,1,2,1,130.09584,3,1.06
262017010,2,42,3,2,1,2,5,1,--,1,2,1,186.21344,3,1.06
262017010,3,11,4,1,99,99,9,99,--,9,99,5,143.238419,3,1.06
262017010,4,9,4,1,99,99,9,99,--,9,99,5,159.574142,3,1.06
262017010,5,6,4,2,99,99,9,99,--,9,99,5,116.825432,3,1.06
262017020,1,44,3,2,1,2,3,1,--,9,2,1,38.768276,3,1.06
262017020,2,48,3,1,1,1,6,1,--,9,2,1,24.547117,3,1.06
262017020,3,13,4,1,99,99,9,8,--,9,99,5,29.821188,3,1.06
262017020,4,11,4,2,99,99,9,99,--,9,99,5,21.620369,3,1.06
262017020,5,11,4,2,99,99,9,99,--,9,99,5,21.620369,3,1.06
262017040,1,29,2,1,1,1,2,1,--,1,2,1,81.506149,3,1.06
262017040,2,25,2,2,1,2,5,1,--,3,2,1,89.400002,3,1.06
262017050,1,47,3,1,1,2,3,1,--,1,2,1,24.547117,3,1.06
262017050,2,46,3,2,2,2,3,8,--,9,2,1,30.294762,3,1.06
262017050,3,19,4,1,1,2,5,1,--,4,2,1,35.113605,3,1.06
262017050,4,16,4,2,99,2,1,8,--,9,1,9,59.188988,3,1.06
262017070,1,64,2,1,1,1,2,8,--,9,2,1,34.48465,3,1.06
262017070,2,62,2,2,1,2,6,8,--,9,2,1,49,3,1.06
262017080,1,60,3,2,1,2,4,8,--,9,2,1,49,3,1.06
262017080,2,64,3,1,1,2,6,1,--,1,2,1,34.48465,3,1.06
262017080,3,28,4,2,1,2,5,1,--,1,2,1,89.400002,3,1.06
262017080,4,24,4,2,1,2,3,2,--,3,1,1,68.043106,3,1.06
262017100,1,45,3,2,1,2,5,2,--,5,2,1,30.294762,3,1.06
262017100,2,47,3,1,1,1,3,1,--,4,2,1,24.547117,3,1.06
262017100,3,10,4,2,99,99,9,99,--,9,99,5,21.620369,3,1.06
262017100,4,9,4,2,99,99,9,99,--,9,99,5,24.322199,3,1.06
262017120,1,37,3,1,1,2,5,1,--,1,1,1,61.086533,3,1.06
262017120,2,35,3,2,1,2,5,8,--,9,2,1,30.839283,3,1.06
262017120,3,4,4,2,99,99,9,99,--,9,99,5,40.291771,3,1.06
262017120,4,2,4,2,99,99,9,99,--,9,99,5,40.291771,3,1.06
262017130,1,79,2,1,1,1,6,2,--,1,2,1,54.98489,3,1.06
262017130,2,68,2,2,1,2,6,2,--,9,2,1,48.75,3,1.06
262017140,1,55,1,1,1,2,3,1,--,1,2,1,16.536232,3,1.06
262018020,1,72,3,1,1,2,7,2,--,1,2,1,53.142857,3,1.06
262018020,2,71,3,2,1,2,6,8,--,9,2,1,76.833336,3,1.06
262018020,3,44,4,1,2,2,5,8,--,9,2,1,27.084999,3,1.06
262018030,1,67,3,1,1,2,4,8,--,9,2,1,46.18182,3,1.06
262018030,2,53,3,2,1,2,3,1,--,1,2,1,28.631844,3,1.06
262018030,3,17,4,2,2,2,1,8,--,9,1,1,59.188988,3,1.06
262018050,1,46,3,1,1,2,6,1,--,1,2,1,117.905769,3,1.06
262018050,2,37,3,2,1,2,6,1,--,1,2,1,148.128571,3,1.06
262018050,3,12,4,2,99,99,9,99,--,9,99,5,103.847885,3,1.06
262018050,4,6,4,2,99,99,9,99,--,9,99,5,116.825432,3,1.06
262018050,5,2,4,1,99,99,9,99,--,9,99,5,159.166672,3,1.06
262018070,1,67,2,1,1,2,5,1,--,1,1,1,46.18182,3,1.06
262018070,2,64,2,2,1,2,4,8,--,9,1,1,49,3,1.06
262018080,1,41,3,2,1,2,5,2,--,1,2,1,186.21344,3,1.06
262018080,2,42,3,1,1,1,4,8,--,9,2,1,130.09584,3,1.06
262018080,3,11,4,2,99,99,9,99,--,9,99,5,103.847885,3,1.06
262018080,4,10,4,1,99,99,9,99,--,9,99,5,143.238419,3,1.06
262018080,5,6,4,1,99,99,9,99,--,9,99,5,159.574142,3,1.06
262018080,6,4,4,2,99,99,9,99,--,9,99,5,193.531174,3,1.06
262018090,1,59,3,2,1,2,2,1,--,3,2,1,78.666664,3,1.06
262018090,2,62,3,1,1,2,2,1,--,1,2,1,34.48465,3,1.06
262018090,3,24,4,1,1,2,3,8,--,9,1,1,59.24147,3,1.06
262018090,4,24,7,2,1,2,3,8,--,9,1,1,68.043106,3,1.06
262018100,1,67,2,1,1,2,7,1,--,9,2,1,46.18182,3,1.06
262018100,2,67,2,2,1,2,5,8,--,9,2,1,48.75,3,1.06
262018100,3,97,5,1,2,2,1,8,--,9,2,1,54.98489,3,1.06
262018100,4,90,5,2,2,2,1,8,--,9,2,1,118.619904,3,1.06
262018120,1,43,3,1,1,2,5,1,--,1,2,1,130.09584,3,1.06
262018120,2,39,3,2,1,2,5,2,--,1,2,1,148.128571,3,1.06
262018120,3,9,4,1,99,99,9,99,--,9,99,5,159.574142,3,1.06
262018120,4,5,4,2,99,99,9,99,--,9,99,5,116.825432,3,1.06
262018140,1,65,2,1,1,1,1,1,--,1,2,1,46.18182,3,1.06
262018140,2,60,2,2,1,2,6,2,--,9,2,1,49,3,1.06
262018150,1,67,2,1,1,1,2,1,--,1,2,1,46.18182,3,1.06
262018150,2,65,2,2,1,2,5,1,--,9,2,1,48.75,3,1.06
262019010,1,45,3,2,1,2,7,1,--,1,2,1,58.159702,3,1.06
262019010,2,48,3,1,1,2,6,1,--,1,2,1,161.093307,3,1.06
262019010,3,16,4,2,99,2,1,8,--,9,1,1,131.227234,3,1.06
